14|Sunday, December 11, 2022 at 1:00 PM -0500|Houston Texans|Dallas Cowboys|AT&T Stadium, Arlington
14|Sunday, December 11, 2022 at 1:00 PM -0500|Minnesota Vikings|Detroit Lions|Ford Field, Detroit
14|Sunday, December 11, 2022 at 1:00 PM -0500|Jacksonville Jaguars|Tennessee Titans|Nissan Stadium, Nashville
14|Sunday, December 11, 2022 at 1:00 PM -0500|Philadelphia Eagles|New York Giants|MetLife Stadium, East Rutherford
14|Sunday, December 11, 2022 at 1:00 PM -0500|Baltimore Ravens|Pittsburgh Steelers|Acrisure Stadium, Pittsburgh
14|Sunday, December 11, 2022 at 4:05 PM -0500|Miami Dolphins|Los Angeles Chargers|SoFi Stadium, Inglewood
14|Sunday, December 11, 2022 at 4:25 PM -0500|Tampa Bay Buccaneers|San Francisco 49ers|Levi's Stadium, Santa Clara
14|Sunday, December 11, 2022 at 4:25 PM -0500|Carolina Panthers|Seattle Seahawks|Lumen Field, Seattle
14|Sunday, December 11, 2022 at 8:20 PM -0500|Kansas City Chiefs|Denver Broncos|Empower Field at Mile High, Denver
14|Monday, December 12, 2022 at 8:15 PM -0500|New England Patriots|Arizona Cardinals|State Farm Stadium, Glendale
15|Thursday, December 15, 2022 at 8:15 PM -0500|San Francisco 49ers|Seattle Seahawks|Lumen Field, Seattle
15|Sunday, December 18, 2022|Miami Dolphins|Buffalo Bills|Highmark Stadium, Orchard Park
15|Sunday, December 18, 2022|Baltimore Ravens|Cleveland Browns|FirstEnergy Stadium, Cleveland
15|Sunday, December 18, 2022|Indianapolis Colts|Minnesota Vikings|U.S. Bank Stadium, Minneapolis
15|Sunday, December 18, 2022|Atlanta Falcons|New Orleans Saints|Caesars Superdome, New Orleans
15|Sunday, December 18, 2022|New York Giants|Washington Commanders|FedExField, Landover
15|Sunday, December 18, 2022 at 1:00 PM -0500|Philadelphia Eagles|Chicago Bears|Soldier Field, Chicago
15|Sunday, December 18, 2022 at 1:00 PM -0500|Detroit Lions|New York Jets|MetLife Stadium, East Rutherford
15|Sunday, December 18, 2022 at 1:00 PM -0500|Pittsburgh Steelers|Carolina Panthers|Bank of America Stadium, Charlotte
15|Sunday, December 18, 2022 at 1:00 PM -0500|Dallas Cowboys|Jacksonville Jaguars|TIAA Bank Field, Jacksonville
15|Sunday, December 18, 2022 at 1:00 PM -0500|Kansas City Chiefs|Houston Texans|NRG Stadium, Houston
15|Sunday, December 18, 2022 at 4:05 PM -0500|Arizona Cardinals|Denver Broncos|Empower Field at Mile High, Denver
15|Sunday, December 18, 2022 at 4:25 PM -0500|Tennessee Titans|Los Angeles Chargers|SoFi Stadium, Inglewood
15|Sunday, December 18, 2022 at 4:25 PM -0500|Cincinnati Bengals|Tampa Bay Buccaneers|Raymond James Stadium, Tampa
15|Sunday, December 18, 2022 at 8:20 PM -0500|New England Patriots|Las Vegas Raiders|Allegiant Stadium, Las Vegas
15|Monday, December 19, 2022 at 8:15 PM -0500|Los Angeles Rams|Green Bay Packers|Lambeau Field, Green Bay
16|Thursday, December 22, 2022 at 8:15 PM -0500|Jacksonville Jaguars|New York Jets|MetLife Stadium, East Rutherford
16|Saturday, December 24, 2022 at 1:00 PM -0500|Buffalo Bills|Chicago Bears|Soldier Field, Chicago
16|Saturday, December 24, 2022 at 1:00 PM -0500|New Orleans Saints|Cleveland Browns|FirstEnergy Stadium, Cleveland
16|Saturday, December 24, 2022 at 1:00 PM -0500|Houston Texans|Tennessee Titans|Nissan Stadium, Nashville
